Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,1,Total Exports,"Animal oils and fats, not chemically modified",4237.64,4862.274
2009,1,Total Exports,"Apples, fresh",702.107,1001.528
2009,1,Total Exports,"Apricots, cherries, peaches, plums and sloes (fresh)",178.633,66.788
2009,1,Total Exports,Bacon and ham,4271.155,1353.536
2009,1,Total Exports,Bananas,2514.354,3802.639
2009,1,Total Exports,"Barley, unmilled",10738.509,82509.185
2009,1,Total Exports,Beef and veal,21922.651,7839.382
2009,1,Total Exports,Beef products (inc. corned beef),2080.874,566.794
2009,1,Total Exports,Beer,26952.188,29294.093
2009,1,Total Exports,"Bread, crispbreads, savoury biscuits",24036.055,14857.522
2009,1,Total Exports,Butter,4248.401,1833.122
2009,1,Total Exports,"Cereal, milled",7051.658,15977.951
2009,1,Total Exports,"Cereal, rolled or flaked",42528.088,46177.81
2009,1,Total Exports,Cheese,19947.526,6804.937
2009,1,Total Exports,Chocolate,25944.845,7628.405
2009,1,Total Exports,Cider & other fermented beverages,1405.391,1952.422
2009,1,Total Exports,Cocoa,4008.682,3429.409
2009,1,Total Exports,Coffee,15658.269,2499.004
2009,1,Total Exports,Condensed milk,1329.203,701.697
2009,1,Total Exports,Dog or cat food for retail,10836.859,11449.908
2009,1,Total Exports,Edible offal and other meat,3028.967,3023.705
2009,1,Total Exports,Eggs & egg products,2441.533,775.159
2009,1,Total Exports,Fish excl. Salmon & Shellfish,37032.599,22278.489
2009,1,Total Exports,"Flours, meals and pellets of meat, offal or fish",1818.7,5185.31
2009,1,Total Exports,Gin and Geneva,16558.226,4585.015
2009,1,Total Exports,"Grapes, fresh or dried",1866.138,3153.054
2009,1,Total Exports,Honey,896.31,179.791
2009,1,Total Exports,Ice cream,3036.089,1849.544
2009,1,Total Exports,Infant food for retail,1122.56,310.97
2009,1,Total Exports,Jams,5569.477,2819.338
2009,1,Total Exports,Juice,3953.004,2794.437
2009,1,Total Exports,Lamb and mutton,24273.42,7056.678
2009,1,Total Exports,Lemons and Limes,113.331,53.935
2009,1,Total Exports,"Lettuce and chicory, fresh or chilled",479.376,170.076
2009,1,Total Exports,Margarine,6028.478,3869.295
2009,1,Total Exports,Milk and cream,13210.746,31981.164
2009,1,Total Exports,Milk powder,7013.267,4802.109
2009,1,Total Exports,Mineral water,18696.414,33771.223
2009,1,Total Exports,Miscellaneous food ingredients,52180.721,15755.854
2009,1,Total Exports,Mixes and doughs for baking,4970.282,4554.195
2009,1,Total Exports,Molasses,806.918,4193.459
2009,1,Total Exports,"Mushrooms and truffles, fresh or chilled",58.95,8.194
2009,1,Total Exports,Nuts,2508.877,768.392
2009,1,Total Exports,Oil cake,2470.145,13555.985
2009,1,Total Exports,Oil seeds and oleaginous fruits,5414.713,22110.165
2009,1,Total Exports,Oranges and Mandarins etc,634.014,1150.875
2009,1,Total Exports,Other animal feedingstuffs,28835.455,38660.078
2009,1,Total Exports,Other beet or cane sugar,21254.239,48876.41
2009,1,Total Exports,"Other cereal (including maize), unmilled",1242.974,4874.455
2009,1,Total Exports,Other Citrus fruit,2.895,5.38
2009,1,Total Exports,Other fruit,2445.32,2130.341
2009,1,Total Exports,Other meat products,3514.286,1148.767
2009,1,Total Exports,Other milk products,3664.859,6451.02
2009,1,Total Exports,Other spirits,12674.353,3147.183
2009,1,Total Exports,Other sugars,2713.841,4917.966
2009,1,Total Exports,"Other vegetables, fresh or chilled",10943.82,42328.583
2009,1,Total Exports,"Other vegetables, prepared or preserved",4915.611,4377.105
2009,1,Total Exports,Pasta uncooked,424.082,213.663
2009,1,Total Exports,"Pasta, cooked or stuffed",2240.883,1365.038
2009,1,Total Exports,Pears & quinces fresh,97.647,58.497
2009,1,Total Exports,Pork,9742.219,10184.367
2009,1,Total Exports,Potato products,7990.348,4235.094
2009,1,Total Exports,"Potatoes, fresh or chilled (including seed)",8009.227,25977.902
2009,1,Total Exports,Poultry products,8826.735,2489.821
2009,1,Total Exports,Poultrymeat (inc poultry offal),19122.317,22085.468
2009,1,Total Exports,Processed fats and waxes,3488.435,4001.38
